TEAM_ID,TEAM_NAME,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,IMAGE_URL
1610612737,Atlanta Hawks,22,9,13,0.409,48.2,43.7,93.7,0.467,13.9,37.6,0.37,20.9,24.9,0.838,13.4,31.1,44.5,25.1,14.0,8.8,4.3,5.9,18.8,20.0,122.2,-0.5,12,21,21,21,15,4,2,19,8,9,12,4,7,3,2,26,12,23,17,1,25,25,7,14,3,21,https://cdn.nba.com/logos/nba/1610612737/global/L/logo.svg
1610612738,Boston Celtics,21,16,5,0.762,48.5,42.3,88.8,0.476,15.6,42.9,0.364,17.1,21.6,0.792,10.3,36.5,46.9,24.9,13.9,6.6,5.8,3.9,17.8,18.5,117.3,8.5,26,2,1,2,5,11,20,10,2,2,18,18,20,10,21,1,3,26,15,26,9,2,3,28,7,2,https://cdn.nba.com/logos/nba/1610612738/global/L/logo.svg
1610612751,Brooklyn Nets,22,12,10,0.545,48.2,43.3,91.5,0.473,14.8,37.8,0.391,15.5,20.0,0.777,12.3,35.7,48.0,25.9,13.3,6.1,5.7,4.4,18.4,18.4,117.0,3.0,12,16,14,16,15,7,3,14,4,7,2,27,28,18,6,4,1,16,10,30,11,7,5,29,9,13,https://cdn.nba.com/logos/nba/1610612751/global/L/logo.svg
1610612766,Charlotte Hornets,21,7,14,0.333,48.2,42.6,89.8,0.475,11.7,31.2,0.374,16.5,20.9,0.79,11.5,31.2,42.7,26.0,14.0,6.9,4.8,4.7,20.3,19.2,113.4,-7.6,26,24,22,24,14,10,14,12,23,26,9,22,23,11,11,25,23,12,16,24,19,9,20,21,17,26,https://cdn.nba.com/logos/nba/1610612766/global/L/logo.svg
1610612741,Chicago Bulls,24,9,15,0.375,48.8,40.5,90.7,0.447,12.0,33.0,0.365,16.2,20.8,0.78,12.2,30.7,42.9,23.2,12.0,8.2,4.5,5.1,19.9,19.3,109.3,-4.1,1,21,24,23,1,24,8,27,18,18,16,26,25,16,7,27,22,29,2,8,22,14,15,18,27,23,https://cdn.nba.com/logos/nba/1610612741/global/L/logo.svg
1610612739,Cleveland Cavaliers,23,13,10,0.565,48.2,41.3,87.2,0.473,11.1,32.6,0.341,16.9,21.7,0.776,10.8,34.0,44.8,25.0,14.6,8.1,4.9,5.1,19.3,19.4,110.5,0.2,4,10,14,13,21,18,24,15,26,20,26,19,19,20,17,8,10,25,21,9,17,16,11,17,24,19,https://cdn.nba.com/logos/nba/1610612739/global/L/logo.svg
1610612742,Dallas Mavericks,22,14,8,0.636,48.0,43.0,91.1,0.473,16.0,42.9,0.374,17.8,23.8,0.746,10.4,32.3,42.6,25.8,12.0,6.4,4.8,4.1,18.3,21.9,119.9,3.4,12,8,7,7,22,8,4,17,1,1,10,13,11,26,20,22,24,17,1,27,20,3,4,3,6,11,https://cdn.nba.com/logos/nba/1610612742/global/L/logo.svg
1610612743,Denver Nuggets,24,15,9,0.625,48.0,44.2,90.1,0.49,11.5,31.4,0.366,14.4,20.2,0.715,11.3,33.0,44.3,29.7,12.7,7.0,5.3,4.9,19.2,19.0,114.3,3.2,1,5,10,8,22,3,12,4,24,25,15,30,27,30,12,13,14,2,3,21,15,10,9,23,13,12,https://cdn.nba.com/logos/nba/1610612743/global/L/logo.svg
1610612765,Detroit Pistons,23,2,21,0.087,48.0,41.0,88.3,0.464,10.2,30.0,0.34,16.6,20.8,0.795,11.7,32.7,44.3,26.1,17.0,6.3,5.4,6.2,22.7,17.7,108.7,-10.1,4,30,30,30,22,20,21,22,28,28,27,21,24,8,10,18,13,11,29,28,14,27,30,30,28,28,https://cdn.nba.com/logos/nba/1610612765/global/L/logo.svg
1610612744,Golden State Warriors,22,10,12,0.455,48.5,40.6,89.8,0.452,14.7,39.9,0.368,19.7,24.9,0.79,13.2,34.1,47.3,27.7,15.9,6.9,3.5,4.2,22.0,20.6,115.5,0.4,12,20,20,20,7,23,15,25,6,4,13,8,7,12,4,7,2,6,27,23,28,4,28,8,11,17,https://cdn.nba.com/logos/nba/1610612744/global/L/logo.svg
1610612745,Houston Rockets,20,11,9,0.55,48.3,40.2,87.1,0.462,12.5,34.8,0.359,16.5,21.8,0.759,9.8,35.6,45.3,25.8,13.2,6.1,4.2,5.1,21.7,19.2,109.4,3.8,30,19,10,15,13,28,25,23,14,13,19,23,18,24,24,5,8,18,7,29,26,17,26,20,26,7,https://cdn.nba.com/logos/nba/1610612745/global/L/logo.svg
1610612754,Indiana Pacers,21,13,8,0.619,48.0,48.2,94.5,0.51,14.7,38.5,0.382,17.3,22.0,0.79,9.6,30.6,40.2,30.3,12.8,7.9,6.3,5.9,22.2,19.0,128.5,3.7,26,10,7,9,22,1,1,1,5,6,7,16,17,13,25,28,29,1,4,11,4,24,29,22,1,8,https://cdn.nba.com/logos/nba/1610612754/global/L/logo.svg
1610612746,LA Clippers,22,12,10,0.545,48.2,41.7,88.1,0.473,12.0,32.4,0.371,18.5,23.7,0.779,10.9,33.2,44.1,25.0,13.2,8.8,5.2,4.9,20.4,20.5,113.9,4.1,12,16,14,16,15,14,22,13,19,22,11,12,13,17,16,9,16,24,8,1,16,11,21,9,15,6,https://cdn.nba.com/logos/nba/1610612746/global/L/logo.svg
1610612747,Los Angeles Lakers,23,14,9,0.609,48.4,41.6,85.9,0.484,10.2,29.7,0.343,19.8,25.7,0.77,8.9,35.9,44.8,26.3,14.7,7.7,5.8,4.3,17.3,21.3,113.1,1.2,4,8,10,11,10,16,27,5,28,29,25,6,5,21,28,3,10,9,22,15,10,6,1,4,18,15,https://cdn.nba.com/logos/nba/1610612747/global/L/logo.svg
1610612763,Memphis Grizzlies,22,6,16,0.273,48.2,39.4,90.2,0.436,13.0,38.5,0.337,14.8,19.0,0.78,10.5,31.3,41.8,24.0,14.5,7.8,6.5,6.9,21.0,18.7,106.5,-6.0,12,26,25,26,15,29,11,29,11,5,28,28,29,15,19,24,25,28,20,12,2,30,25,27,29,24,https://cdn.nba.com/logos/nba/1610612763/global/L/logo.svg
1610612748,Miami Heat,23,13,10,0.565,48.0,40.3,85.7,0.471,12.7,33.0,0.386,19.1,22.9,0.837,9.1,31.7,40.8,26.3,13.0,7.8,3.3,5.1,18.9,20.1,112.6,0.9,4,10,14,13,22,26,28,18,13,17,3,11,15,4,27,23,27,9,5,13,29,18,8,13,21,16,https://cdn.nba.com/logos/nba/1610612748/global/L/logo.svg
